Hindi,Telugu
"मैं उन महिलाओं के बारे में सोचती हूं जिनके पास आवश्यक समर्थन नहीं है मानसिक आघात से निपटने के लिए जब वे ऑनलाइन स्थानों में असुरक्षित महसूस करती हैं, और वे अपनी दैनिक गतिविधियों को करती हैं, सोचती है कि वहाँ उनके इन-बॉक्स में बलात्कार का खतरा है।","అవసరమైనప్పుడు సహాయం దొరకని స్త్రీలగురించి నేనాలోచించాను ఆన్ లైన్ లో సమస్యలు ఎదురైనప్పుడు కలిగే మానసిక వేదనను పంచుకోడానికి, వారి నిత్యకృత్యాలను యథావిధిగా చేసుకోడానికి, వారి ఇన్ బాక్స్ లో ఓ అసభ్య సందేశం వస్తే ఎలా అని."
"इंटरनेट तक सुरक्षित पहुंच ज्ञान तक पहुंच है, और ज्ञान स्वतंत्रता है। जब मैं महिलाके",జ్ఞానాన్ని పొందడానికై సురక్షిత ఇంటర్నెట్ అందుబాటు లోకి రావడానికి ఇప్పుడు జ్ఞానం అంటే స్వేఛ్ఛయే.
"डिजिटल अधिकारों के लिए लड़ती हूं, मैं समानता के लिए लड़ती हूँ।",స్త్రీల డిజిటల్ హక్కుల కై పోరాడుతుంటే నేను సమానత్వం గురించి పోరాడుతున్నట్లే.
आज मैं आपको बताने वाला हूँ अप्रत्याशित खोजों के बारे में ,ఈ రోజు నేను ఊహించని ఆవిష్కరణలు గురించి మాట్లడబోతున్నాను
अब मैं सौर ऊर्जा तकनिकी के उद्योग में काम करता हूँ ,నేను సోలార్ టెక్నాలజీ పరిశ్రమలో పనిచేస్తున్నాను
और मेरी छोटी नयी कंपनी हमे वातावरण में ले जाने के लिए ज़ोर लगा रही हैं ध्यान दे कर,"నా చిన్న సంస్థ పర్యావరణంలోకి వెళ్ళటానికి ప్రయత్నం చేస్తోంది. ఇది మనుషులకు ప్రాధాన్యం ఇస్తూ, జన సేవలతో"
क्राउड सौरसिंग(crowd-sourcing) पर ध्यान दे कर ,చెయ్యటనికి చూస్తున్నాము.
यह सिर्फ एक छोटा वीडियो है हमारे काम के बारे में ,ఇది ఒక చిన్న వీడియో మేము ఏమి చేస్తామో చూపించటానికి
ह्: एक पल के लिए रुकिए ,ఒక్క నిమిషం
लोड होने में यह समय ले सकता है ,దీనికి కొంచెం సమయం పడుతుంది అనుకుంటా
(हँसी) हम बस -- हम इस छोड़ सकते हैं -- मैं वीडियो को ही छोड़ देता हूँ ...,(ప్రేక్షకులు నవ్వుతున్నారు) సరే..మనం ముందుకు వెళ్దాం వీడియోని దాటి వెళ్దాము
(हँसी) नहीं ,(ప్రేక్షకులు నవ్వుతున్నారు) అయ్యో
(हँसी) (हँसी) (संगीत) यह नहीं है ..,(ప్రేక్షకులు నవ్వుతున్నారు) (ప్రేక్షకులు నవ్వుతున్నారు) (సంగీతం ) ఇది నేను అనుకున్నది కాదు..
(हँसी) ठीक है ,(ప్రేక్షకులు నవ్వుతున్నారు) సరే
(हँसी) सौर ऊर्जा है ...,(ప్రేక్షకులు నవ్వుతున్నారు) సోలార్ టెక్నాలజ అంటే......
"ओह, मेरे पास इतना ही समय है?",నా సమయం అయ్యిపోయింద?
ठीक है  आप सभी का बहुत धन्यवाद,సరే. ధన్యవాదాలు.
"मैं चार साल की थी, तब मैंने एक बगीचा देखा, रसोई के तल के नीचे।",నాలుగేళ్ళప్పుడు నేనొక గార్డెన్ కనుగొన్నా మా వంటింటి గచ్చు క్రిందిభాగంలో
"यह लिनोलियम के बचे हुए पैच के पीछे छिपा था, घिसा हुए मंजिल पर जिसे मेरी मां हटा रही थी।",అది పగిలిన గచ్చుమీద అమ్మ వదిలేసిన మిగిలిన లినోలియం ముక్కల వెనుక దాగివుంది.
"जब बगीचे ने मेरा ध्यान खींचा, कार्यकर्ता व्यस्त था।",గార్డెన్ పై నాదృష్టి పడినప్పుడు పనివాడు బిజీగా వున్నాడు.
"गुलाब के सुंदर से फूल पर मेरी आँखें चिपक ही गयी, मेरे बचपन के परिदृश्य में जैसे खिल रही हो।",చిన్నప్పటి లాండ్ స్కేప్ కు అడ్డంగా పూసిన ఆ గులాబీల విన్యాసానికి నా కళ్ళు అతుక్కుపోయాయి.
"उन्हें देखकर, मुझे ख़ुशी और रोमांच की भावना महसूस हुई।",వాటిని చూడగానే నాలో ఆనందం ఉరకలేసింది.
"इस उत्तेजना से, कुछ ऐसी चीज में जानेकी भावना महसूस हुई जिसका मुझे कुछ नहीं पता था।",ఉత్సాహంతో ముందుకెళ్ళాలనిపించింది అప్పుడు దానిగురించి నాకేమీ తెలీదు.
बगीचे के लिए मेरा जुनून और लगाव उसी पल से शुरू हुआ।,సరిగ్గా ఆక్షణంలోనే నాకు గార్డెన్ తో విడదీయరాని సంబంధం ఏర్పడింది.
"जब वसंत ऋतु की शुरुवात हुई, मैं इतनी तेजी से घर में भागी, मेरी मां की आवाज से आगे बढ़ गई।","వసంతం రాగానే ఇంట్లోంచి వేగంగా పరిగెత్తాను, అమ్మ పిలుపు కంటే ముందుగానే."
"इससे पहले की माँ अपना जैकेट पहने, मैंने अपना लाल कॉर्डुरॉय जम्पर और धूसर रंग की प्लेड ऊनी टोपी ले ली","ఎరుపు కార్ఢరాయ్ జంపర్, గ్రే ఉలన్ హాట్ వేసుకొని అమ్మ జాకిట్ వేసుకునే లోపుగానే"
मैं सामने के दरवाजे से बाहर निकली और घास के एक ताजा कालीन पर कूद गयी।,ముందు తలుపులు విసిరికొట్టి వెళ్ళాను తాజా గడ్డిపై కాలుపెట్టాను.
"उत्साहित होकर, मैं उछल पड़ी, और उनके पास पहुंचते हुए तीन और कार्टविल्स किये",ఉద్రేకంతో దుడుకుగా ఎగిరాను అమ్మొచ్చేలోపుగానే.
"माँ बग़ीचे मैं थी, मिटटी को मिला रही थी, और मैं उनके पास मैं बैठी, फुलवारी की मिट्टी से खेल रही थी","అమ్మ గార్డెన్ లోకి వచ్చి మట్టిని వదులు చేయడంలో మునిగిపోయింది, నేను ఆమె పక్కన కూర్చున్నాను, నేలపై వృత్తాలు గీస్తూ ఆడుకుంటున్నాను."
"जब उनका काम ख़तम हुआ, उन्होंने मुझे खट्टे-मीठे नीम्बू पानी का गिलास दिया और फिर मेरे पैरों को ठंडा करने के लिए, पुदीने के टहनी से मेरे जूते पर रखे","అమ్మ పని అవగానే నాకు చల్లని, పుల్లని నిమ్మ షర్బత్ ఇచ్చింది తర్వాత నా పాదాలు చల్లబడాలని బూట్లలో పుదీనా రెమ్మలుంచింది"
मेरी माँ ने बगीचे के रंग और रचनाये खाने मे उतार दीं,గార్డెన్ లో పండిన కాయగూరలతో వంట చేసింది.
उन्होंने रतालू और शरबत और रसीले टमाटर और गाजर बनाये,"కందగడ్డను, సొరకాయలను బేక్ చేసింది ఇంట్లో పండిన టమాటాలు,కారెట్లను కూడా."
उन्होंने सालों तक लोगों को बड़े प्यारसे बैंगनी पतवार मटर और हरी सब्जिया खिलाई।,"ఆమె ఓ తరానికి బటానీలు,ఆకుకూరలతో పాటు ప్రేమను వండిపెట్టింది."
"ऐसा लगता है कि मेरे बचपन के दौरान, मेरी मां के बगीचों से खिलते पदार्थों ने रोगमुक्त किया, उनके से हेलो लेकर पैरों के तलवों पर जड़ों तक।",నా బాల్యంలో విరిసిన ఆమె తోట మనస్సులను స్వస్థత పరిచేది ఆమె లోని శూన్యాన్ని భర్తీ చేసేవి.
"माँ के देहांत से पहले हमारी आखिरी बातों में, उन्होंने मुझे प्रोत्साहित किया की में कहीं भी जाऊ, जहा भी मुझे ख़ुशी मिले।",చివరిసారిగా మరణించడానికి ముందు మాట్లాడుతూ నన్ను ప్రపంచంలో ఏమూలకైనా వెళ్లమని ప్రోత్సహించింది అది తనను సంతోషపెడుతుందని చెప్పింది.
"तब से मैंने, दुनिया भर में कला प्रतिष्ठानों के माध्यम से बाग़ सजाना शुरू किया, जिन लोगों से मैं मिली उनके देशों में",అప్పట్నించి నేను తోటలు పెంచడం మొదలెట్టాను ప్రపంచమంతా అందమైన ఆకృతులలో నేను కలిసిన దేశాల ప్రజలు
"अब वे अस्तर हैं पार्क और आंगन, दीवारों और यहां तक कि सड़क चित्रित हैं।","వాళ్ల పార్కుల అంచుల్లో,పెరట్లలోనూ కూడా వీధుల్లోని తెగులు పట్టిన చెట్లకు, గోడలకూ రంగులేసారు"
"यदि आप बर्लिन, जर्मनी में थे, तो आपने मेरा बगीचा देखा होगा स्टाइलवर्क्स डिजाइन सेंटर में, जहां दौनी और लैवेंडर, हाइड्रेंजिया और नींबू बाम ग्लास लिफ्टों के सभी छह मंजिलों के पीछे लगाए गए हैं।","మీరు జర్మనీ లోని బెర్లిన్ లో వున్నట్లయితే స్టిల్ వర్క్ డిజైన్ సెంటర్ లో నా గార్డెన్ చూడగలరు రోజ్ మేరీ,లావెండర్,హైడ్రాంజియా,లెమన్ బాం 6 అంతస్థులలో గాజు లిఫ్టులకు వేలాడుతుంటాయి"
"2009 में, मैंने ""दार्शनिक गार्डन"" लगाया एक बगीचे भित्तिचित्र, ऐतिहासिक फ्रेडरिक डगलस हाई स्कूल मेम्फिस, टेनेसी में।","2009 లో ఫిలాసఫర్ల గార్డెన్ ప్రారంభించాను అది మ్యూరల్ రూపంలోని తోట, టెన్నిసీ లోని మెంఫిస్ లో చారిత్రాత్మకఫ్రెడరిక్ హైస్కూల్ లో అది వికసించింది."
इस स्कूल के बगीचे ने एक पूरे समुदाय को खिलाया और एलेनोर रूजवेल्ट द्वारा सम्मानित किया गया था महान अवसाद के दौरान।,ఈ బడితోట కమ్యూనిటీ అవసరాలను తీర్చేది గ్రేట్ డిప్రెషన్ సమయంలో ఎల్నార్ రూస్వెల్ట్ దాన్ని మెచ్చుకున్నారు.
"फिर, 2011 में, मैंने कोर्ट स्क्वायर पार्क में - छह प्रवेश उद्यान लगाये, 80 किस्मों के सुगंधित फ्लोरिबुंडा को और संकर चाय गुलाब।",మళ్ళీ 2011 లో కోర్ట్ స్క్వయర్ లో నాటాను 80 సుగంధభరిత పూల అమరికలతో ఇంకా హైబ్రిడ్ టీ గులాబీలతో కలిపి ఆరు ప్రవేశ ఉద్యానవనాలను నాటాను.
बागवानी ने मुझे सिखाया है कि एक बागान रोपण और उसे बढ़ाना हमारे जीवन को बनाने के समान प्रक्रिया है।,"తోటపని నేర్పింది మొక్కలను నాటడం,, తోటను పెంచడం మన జీవితాల్ని చక్కదిద్దుకునే విధంగానే."
"सृजन की यह प्रक्रिया वसंत में शुरू हो होता है, जब आप मिट्टी तोड़ते हैं और फिर से शुरू करते हैं।",ఈ ప్రక్రియ వసంతం రాగానే మొదలౌతుంది. మీరు మట్టిని వదులుచేసినప్పుడు.
"तो यह सर्दियों की मृत पत्तियां, मलबे और जड़ों को बाहर निकलने का समय है।","అది రాలిన ఆకులను ఏరేసే సమయం, వాటితో బాటు ఎండిన వేర్లను కూడా."
माली को फिर सुनिश्चित करना चाहिए वह एक अच्छा स्वभाव है और उचित पोषक तत्व मिट्टी में सही ढंग से मिश्रित हैं।,"అప్పుడు తోటమాలి నిర్ధారించుకోవాలి కలుపుమొక్కలను ఏరడం,పోషకాలు సమపాళ్లలో మట్టికి అందాయో లేదో."
फिर शीर्षस्थल में वायु प्रवाह महत्वपूर्ण है और सतह पर इसे ढीला छोड़ दें।,పైనున్న మట్టికి గాలి తగిలేలా చేయడం ముఖ్యం పై పొరల్ని వదులు చేయడం.
जीवन में खूबसूरत नहीं खिलता है जब तक आप पहले काम नहीं करते हैं।,మీరు ఈ పనుల్ని శ్రధ్దగా చేసేవరకూ ఆ అందమైన దృశ్యాలు జీవితంలో మీకు కనపడవు.
"जब हमारे बगीचे देखभाल के साथ संतुलित होते हैं, तभी जीवन में सौंदर्य की कटाई मिल सकती है।","మన తోటల్లో ఈ పనుల్ని సమపాళ్లలో చేసేంతవరకు, జీవితమాధుర్యాన్ని హుందాగా నిలుపుకోగలం"
"जंगल में, जब पेड़ अपनी जड़ों के माध्यम से महसूस करते हैं कि एक और पेड़ बीमार है, वे अपने पोषक तत्वों का एक हिस्सा भेज देंगे उस पेड़ के लिए उन्हें ठीक करने में मदद करने के लिए।",అడవుల్లో ఎప్పుడైతే చెట్లు వేర్ల ద్వారా ఇంకో చెట్టు జబ్బు పడిందని తెలుసుకుంటాయో అవి కోలుకోడానికి వాటి పోషకాల్లో కొంత వేరే వాటికి పంపుతాయి.
वे कभी अपने बारे में नहीं सोचते हैं या जब वे करते हैं तो कमजोर महसूस नहीं करते हैं।,వాటికి జరిగే నష్టాన్ని గూర్చి ఎప్పుడూ ఆలోచించవు వాటికప్పడు జరిగే హాని గూర్చి ఆలోచింపవు.
"जब एक पेड़ मर रहा है, वह अपने सभी पोषक तत्वों को अन्य पेड़ों को देता है जिन्हें इसकी सबसे अधिक जरूरत है।","ఓ చెట్టు ఎండిపోతున్నప్పుడు, అవసరమున్న మరో చెట్టుకు వాటి పోషకాలను విడుదలచేస్తాయి. మనమందరం మూలాల ద్వారా"
"सतह के नीचे, हम सब हमारी जड़ों से जुड़े हुए हैं और एक दूसरे के साथ पोषक तत्व साझा करते हैं।",కనెక్ట్ అయ్యి ఉన్నాము పరస్పరం బంధాలను పంచుకుంటాము. అందరం ఒకటైనప్పుడే మనం నిజాయితీగా ఎదుగుతాం
जब हम साथ आते हैं तभी हम ईमानदारी से बढ़ सकते हैं।,కఠినపరీక్షలప్పుడు ఇది మనకూ అనుభవమే
"यह मनुष्यों के लिए भी वही है, कठिनाई के बगीचे में।",ఈ తోటలో
"इस बगीचे में, जब कैटरपिलर एक क्रिसलिस में बदलता है, इसमें कुछ संघर्ष शामिल है।",గొంగళి పురుగు సీతాకోకచిలుకగా మారేటప్పుడు కొంత పోరాటం జరుగుతుంది. కానీ ఇది ఆశయసిధ్ధి కోసం జరిపే పోరాటం
लेकिन यह उद्देश्य के साथ एक चुनौती है।,కఠిన పరిశ్రమ లేకుండా
"कोकून की सीमाओं से मुक्त होने के लिए, इस दर्दनाक लड़ाई के बाद ही, नव निर्मित तितली के पंख मजबूत बन सकते हैं।",బంధించి వున్న గూడు నుంచి బయటపడాలంటే నూతన సీతాకోకచిలుక రెక్కలను ధృఢపరచుకోలేదు పోరాటం లేని సీతాకోకచిలుక ఎగరకుండానే మరణిస్తుంది.
"इस युद्ध के बिना, तितली मर जाती है उड़ान भरने से पहले ही।",నా జీవితంలో పని అనేది
"मेरे जीवन का काम है , यह समझाना कि कैसे मानव कनेक्टिविटी बगीचे में एकीकृत होते है ।",తోటలతో మానవ సంబంధాలను అనుసంధానించడమే. ఈ రూపాంతరీకరణలకు తోటలు గొప్ప ఉదాహరణలు
बगीचे जादुई ज्ञान से भरे हुए हैं इस परिवर्तन के लिए।,ప్రకృతిమాత లోని సృజనాత్మకత మొలకెత్తడానికై ఎదురుచూస్తూ వుంటుంది
मां प्रकृति की रचनात्मक ऊर्जा है जो पैदा होने का इंतजार कर रही है।,తోటలు అద్దాల వంటివి
गार्डन एक दर्पण हैं जिसने अपना खुद का प्रतिबिंब डाला हमारे जीवन में।,"మన జీవిత గమనంలో అవి ప్రతిఫలిస్తూ వుంటాయి కనుక మీ బలాలను,సామర్థ్యాలను కాపాడుకోండి"
"तो अपनी प्रतिभा और शक्तियों को पोषित करें और आपको जो मिला है, उसके लिए शुक्रगुजार रहिए ।",మీలోని శక్తులను గౌరవించండి ఎదిగే దశలో వినయాన్ని చూపండి
उपचार के लिए नम्र रहो।,ఇతరుల పట్ల సానుభూతిని ప్రదర్శించండి
और दूसरों के लिए करुणा बनाए रखें।,దాతృత్వాన్ని మీ వ్యక్తిత్వానికి నేర్పండి
देने के लिए अपने बगीचे की खेती करें और भविष्य के लिए ये बीज लगाएं।,వాటిని భవిష్యత్ తరాలకు అందించండి
बगीचा आप के भीतर बसने वाली दुनिया है।,ఈ తోట మీ అంతరాంతరాలలో నెలకొనివుంది.
धन्यवाद।,కృతజ్ఞతలు. ( కరతాళధ్వనులు )
(तालियां) (चीयर्स) (तालियां),( కేకలు) ( చప్పట్లు)
"सेलो संगीत शुरू होता है अपने मुझे ढूंढ़ लिया, अपने मुझे ढूंढ़ लिया टूटी हुई यादों के ढेर के नीचे अपने स्थिर, स्थिर प्यार के साथ,","సెల్లో మ్యూజిక్ మొదలవుతుంది మీరు నన్ను కనుక్కున్నారు, మీరు నన్ను కనుక్కున్నారు, విరిగిన జ్ఞాపకాలను గుట్ట కింద మీ స్థిరమైన, స్థిరమైన ప్రేమతో."
"आपने मुझे हिलाया, आपने मुझे हिलाया, आपने मुझे रात भर हिलाया अपने स्थिर , स्थिर प्यार के साथ","మీరు నన్ను ఉప్పొంగేలా చేసారు మీరు నన్ను ఉప్పొంగేలా చేసారు రేయి అంత మీరు నన్ను ఉప్పొంగేలా చేసారు మీ స్థిరమైన, స్థిరమైన ప్రేమతో."
"(सेलो संगीत जारी है) (लयबद्ध रूप से टैप) आपने मुझे ढूंढ़ लिया, आपने मुझे ढूंढ़ लिया टूटी हुई यादों के ढेर के नीचे अपने स्थिर, अपने स्थिर, स्थिर प्यार के साथ","(సెల్లో సంగీతం కొనసాగుతుంది) లయబద్ధంగా వాయిస్తున్నారు మీరు నన్ను కనుక్కున్నారు, మీరు నన్ను కనుక్కున్నారు విరిగిన జ్ఞాపకాలను గుట్ట కింద మీ స్థిరమైన, మీ స్థిరమైన, స్థిరమైన ప్రేమతో."
"और आपने मुझे हिलाया, आपने मुझे हिलाया, आपने मुझे रात भर हिलाया अपने स्थिर, स्थिर, स्थिर प्यार के साथ।","మీరు నన్ను ఉప్పొంగేలా చేసారు నన్ను ఉప్పొంగేలా చేసారు రేయి అంత మీరు నన్ను ఉప్పొంగేలా చేసారు మీ స్థిరమైన, స్థిరమైన,స్థిరమైన ప్రేమతో."
(संगीत समाप्त होता है) (तालियां) धन्यवाद।,(సంగీతం ముగుస్తుంది) (ప్రశంస) ధన్యవాదాలు.
(तालियां),(ప్రశంస)
मैं यहाँ आपको सिर्फ़ अपनी कहानी सुनाने नहीं आई हूँ बल्कि उन असाधारण महिलाओं की कहानियाँ जिन्हें मैं भारत में मिली हूँ।,నేనిక్కడికి వచ్చింది కేవలం నా కథ చెప్పడానికి మాత్రమే కాదు నేను కలిసిన అసాధారణ భారతీయ స్త్రీల గురించి కూడా చెప్పడానికి.
"वे मेरे लिए प्रेरणा का स्रोत हैं, मुझे सिखाती हैं, जीवन की इस राह में मुझे सही दिशा दिखाती हैं।","వారు ఇంకా నన్ను ఉత్తేజపరుస్తూనే వున్నారు, నా జీవిత ప్రయాణంలో బోధిస్తున్నారు దారి చూపుతున్నారు."
ये अद्भुत महिलाएं हैं।,వీరు అసాధారణమైన స్త్రీలు.
"इन महिलाओं को स्कूल जाने का कभी मौका नहीं मिला, इनके पास कोई डिग्रियाँ नहीं थीं, न वे कहीं घूमी हैं, न ही बाहरी दुनिया के बारे में जानती हैं।","వాళ్ళకు బడికెళ్లే అవకాశమెప్పుడూరాలేదు, వాళ్ళకు డిగ్రీలు లేవు, ప్రయాణాలు చేయలేదు, లోకజ్ఞానం లేదు."
"साधारण महिलाएं जिन्होंने असाधारण काम किए अपने पूरे साहस, समझदारी और विनम्रता के साथ।","అసాధారణ పనులు చేసిన అతి సాధారణ మహిళలు వారి అద్వితీయమైన ధైర్యంతో, వివేకంతో,అణకువతో."
वे मेरी शिक्षक हैं।,వారు నా గురువులు.
"पिछले तीन दशकों से, मैं भारत में काम कर रही हूँ वहीं रहती हूँ, वहीं जीती हूँ, और ग्रामीण भारत की महिलाओं के साथ काम कर रही हूँ।","గడచిన మూడు దశాబ్దాలుగా, నేను ఇండియాలో నివసిస్తూ, పనిచేస్తున్నాను గ్రామీణ స్త్రీలతో కలిసి పని చేస్తున్నాను."
मेरा जन्म और पालन-पोषण मुंबई में हुआ।,నేను ముంబాయి లో పుట్టి పెరిగాను.
"जब मैं कॉलेज में थी, तब मेरी मुलाक़ात प्रसिद्ध गांधीवादी नेता जयप्रकाश नारायण से हुई, जिन्होंने युवकों को ग्रामीण भारत में काम करने को प्रेरित किया।","నేను కాలేజీ లో చదువుతున్నప్పుడు, జయప్రకాశ్ నారాయణగార్ని కలిసాను, ఆయనో ప్రముఖ గాందేయవాది. గ్రామీణ భారతంలో పని చేయాలని యువకులను ప్రోత్సహిస్తుండేవాడు."
मैं ग्रामीण भारत में काम करने के लिए गाँवों में गई।,ఊళ్లల్లో పనిచేయడానికి నేను గ్రామాలకు వెళ్తుండే దాన్ని.
"मैं भूमि अधिकार आंदोलन किसान आंदोलन, और महिला आंदोलन का हिस्सा रही।","నేను పాల్గొన్నాను భూమి హక్కుల ఉద్యమంలో, రైతు పోరాటాల్లో స్త్రీల ఉద్యమాల్లో."
"उसी राह पर चलते हुए, मैं एक छोटे से गाँव में पहुँची, एक युवा, आकर्षक, ऊर्जस्वी किसान नेता के साथ प्यार हो गया जो इतने पढ़े लिखे नहीं थे, पर वे लोगों को आकर्षित कर सकते थे।","ఆ పనుల్లో, నేనో చిన్న గ్రామం చేరుకున్నాను, అక్కడో సొగసైన,చురుకైన యువకుడైన రైతునాయకునితో ప్రేమలో పడ్డాను అతనెక్కువగా చదువుకోలేదు, కానీ జనాల్ని తనవైపు తిప్పుకోగలడు."
"और इस तरह, जवानी के जोश में, मैंने उनसे शादी कर ली, और मुंबई छोड़ दिया। और उस छोटे से गाँव में चली गई जहाँ नल में पानी भी नहीं था और न ही कोई शौचालय।","యువకుల్లో ఆవేశాన్ని రగల్చగలడు, అతన్ని వివాహం చేసుకున్నాను ముంబాయి వదిలాను, నిరంతర నీటిసరఫరా కూడా లేని ఓ కుగ్రామానికి వెళ్ళాను టాయిలెట్ కూడాలేదు."
"सच कहूँ, मेरा परिवार और मित्र डर गए थे।","నిజం చెప్తున్నాను, నా కుటుంబం స్నేహితులు భయపడ్డారు."
"(हँसी) मैं अपने परिवार के साथ रह रही थी, अपने तीन बच्चों के साथ गाँव में, और एक दिन, कुछ सालों के बाद एक दिन, कांताबाई नाम की महिला मेरे पास आई।","( నవ్వులు ) నేను నా కుటుంబంతో ఉంటున్నాను, ఆ గ్రామంలో నా ముగ్గురు పిల్లలతో సహా, ఒక రోజు, అలా కొంతకాలం తర్వాత ఒకరోజు, కాంతాబాయి అనే స్త్రీ నా వద్దకు వచ్చింది."
"कांताबाई ने कहा, ""मुझे बचत खाता खोलना है।","ఆమె అంది, ""నేనొక సేవింగ్స్ అకౌంట్ తెరవాలనుకుంటున్నాను."
"मुझे बचत करनी है।""","పొదుపు చేయాలనుకుంటున్నాను"""
"मैंने कांताबाई से पूछा: ""तुम लुहार का काम करती हो।","నేను కాంతాబాయిని అడిగాను: ""నువ్వు చేసేది కమ్మరిపని."
तुम्हारे पास इतने पैसे हैं कि बचत कर सकोगी?,పొదుపు చేసేంత డబ్బు నీవద్ద వుందా?
तुम सड़क पर रहती हो।,నువ్వుండేది వీధుల్లో.
"तुम पैसे बचा सकती हो?""","పొదుపుచేయగలవా?"""
कांताबाई हठी थी।,కాంతాబాయి పట్టుబట్టింది.
"वह बोली, ""मैं बचाना चाहती हूँ क्योंकि मॉनसून आने से पहले मुझे प्लास्टिक की चादर खरीदनी है।","""నేను సేవ్ చేయాలి, ఎందుకంటే నేనొక ప్లాస్టిక్ షీట్ కొనాలి వర్షాకాలం రావడానికి ముందే."
"मुझे अपने परिवार को बारिश से बचाना है।""","వర్షాలనుంచి మా కుటుంబాన్ని కాపాడుకోవాలి."""
मैं कांताबाई के साथ बैंक गई।,నేను కాంతాబాయి వెంట బ్యాంకుకు వెళ్ళాను.
कांताबाई रोज़ के दस रूपए बचाना चाहती थी जो 15 सेंट से भी कम हैं।,కాంతాబాయి రోజుకు 10 రూ సేవ్ చేయాలనుకున్నది- అంటే 15 సెంట్ల కన్నా తక్కువ.
बैंक मैेनेजर ने कांताबाई का खाता खोलने से इनकार कर दिया।,కాంతాబాయి అకౌంట్ తెరవడానికి బ్యాంక్ మేనేజర్ ఒప్పుకోలేదు.
उसने कहा कि कांताबाई की रकम बहुत छोटी थी और उसके समय के लायक नहीं थी।,ఆమె దాచే డబ్బు చాలా తక్కువని అన్నాడు అది ఆయన సమయాన్ని వృథా చేస్తుందని అన్నాడు.
कांताबाई बैंक से कोई ऋण नहीं माँग रही थी।,కాంతాబాయి బ్యాంక్ నుండి లోనేమీ అడగడం లేదు.
सरकार से कोई अनुदान या सहायता नहीं माँग रही थी।,"ప్రభుత్వం నుండి సబ్సిడీ కాని, గ్రాంట్ కానీ అడగడం లేదు."
वह बस अपनी मेहनत से कमाए पैसे को सुरक्षित रखने के लिए एक सुरक्षित जगह ही तो माँग रही थी।,అడిగేది ఆమె డబ్బుకో సురక్షిత ప్రదేశం కావాలని అదీ ఆమె కష్టార్జితాన్ని దాచడానికి.
और वह उसका अधिकार था।,అది ఆమె హక్కు.
"और मैंने सोचा... मैंने कहा अगर बैंक कांताबाई का खाता नहीं खोल रहे, तो क्यों न मैं बैंक खोल दूँ जिससे कांताबाई जैसी महिलाओं को बचाने का मौका मिलेगा","నేను కూడా వెళ్లాను- నేనన్నాను కాంతాబాయిని అకౌంట్ తెరవ నివ్వకుంటే, మనమే ఓ బ్యాంకునెందుకు మొదలెట్టకూడదు అని కాంతాబాయి వంటి వారికి డబ్బు దాచేందుకు?"
और मैंने रिज़र्व बैंक ऑफ़ इंडिया से बैंकिंग लाइसेंस के लिए अर्ज़ी दी।,నేను భారతీయ రిజర్వు బ్యాంకుకు బ్యాంక్ లైసెన్సు కోసం దరఖాస్తు చేశాను.
"(तालियाँ) नहीं, वह कोई आसान काम नहीं था।","( చప్పట్లు ) కానీ, అదంత సులువైన పనేం కాదు."
हमारी अर्ज़ी नामंजूर कर दी गई... (हँसी) इस आधार पर... रिज़र्व बैंक ने कहा कि वह ऐसे बैंक को लाइंसेंस नहीं दे सकता जिसे प्रोत्ससाहन करने वाले सदस्य अनपढ़ हैं।,మా దరఖాస్తును తిరస్కరించారు-- ( నవ్వులు ) ఒక ప్రాతిపదిక మీద-- రిజర్వు బ్యాంక్ మేం లైసెన్స్ జారీ చేయలేమని చెప్పింది కారణం బ్యాంక్ ఏర్పాటు చేసేవారు నిరక్షరాస్యులు కనుక.
मैं डर गई।,నేను బెదిరి పోయాను.
मैं रो रही थी।,నాకు ఏడుపు వచ్చింది.
और घर वापस आने पर मैं लगातार रोती रही।,"వెనక్కి ఇంటికి తిరిగి వచ్చేంతవరకూ, ఆగకుండా ఏడుస్తూనే వున్నాను."
मैंने कांताबाई और अन्य महिलाओं से कहा कि हमें लाइसेंस नहीं मिल पाया क्योंकि हमारी महिलाएँ अनपढ़ हैं।,"నేను కాంతాబాయి,ఇతరస్త్రీలతో చెప్పాను మన వాళ్లు నిరక్షరాస్యులు కనుక లైసెన్స్ తెచ్చుకోలేకపోయామని."
"एक महिला ने कहा, ""रोना बंद करो।","మా వాళ్లు, ""ఏడుపు ఆపండి."
"हम पढ़ना-लिखना सीखेंगी और फिर अर्ज़ी देंगी, तो क्या हुआ?""","మేము చదవడం,రాయడం నేర్చుకుంటాము అప్పుడు మళ్ళీ అప్లై చేయొచ్చు"" అన్నారు."
(तालियाँ) हमने साक्षरता कक्षाओं की शुरुआत की।,( చప్పట్లు ) అక్షరాస్యతా తరగతులు మొదలెట్టాం.
